brand,color,size,price,offer_price
Tresmode,Black,6.5,4647,4153
Lavie,Gold,4,2446,1172
FILA,Red,6,2346,1898
Crocs,Red,5,5942,5868
Crocs,Blue,4,2942,2118
Franco Leone,Brown,8,3942,1773
Crocs,White,6,2942,2243
Franco Leone,Black & Red,8,3146,1723
Crocs,Blue,10,3942,3868
Crocs,Brown,11,5742,5668
Tresmode,Black,3,3647,3573
LaBriza,Brown,5,4746,2522
Franco Leone,Red,8,2242,1453
Franco Leone,Bordo,7,4242,1893
Hush Puppies,Brown,8,4946,4872
Woodland,Camel,9,2742,2668
Adidas,White,9,7246,5872
Buckaroo,Brown,11,4142,2588
Crocs,White,9,2442,2368
Tresmode,Gold,2.5,3747,3673
Franco Leone,Light Tan,10,3742,1693
Liberty,Black,8,1946,1642
Crocs,Brown,4,3442,2468
Crocs,Red,6,2942,2868
Crocs,Blue,12,2442,2368
FILA,Grey,4,2946,2383
Franco Leone,Brown,10,4242,1893
Crocs,Blue,5,1742,1668
Franco Leone,Black,6,2242,1093
Franco Leone,White,9,3642,1653
Crocs,White,7,4442,4368
Crocs,Blue,12,2442,2368
Franco Leone,Tan,8,3446,1573
FILA,Brown,9,2746,1982
Crocs,Black,6,4442,2768
Crocs,Brown,10,2442,2368
Bata,Blue,6,3446,3372
Hidesign,Black,9,5742,5668
Crocs,Brown,12,7442,5268
Havaianas,Blue,12.5,1947,1873
Asics,Blue,6,13946,8472
Franco Leone,Red,10,3542,1613
Reebok,Black,8,3646,2828
Vanilla Moon,Silver,4,5437,4863
Crocs,Blue,3,1942,1868
Adidas,Navy & Red,9,3246,2752
Crocs,Green,2,3442,3368
Tresmode,Gold,4,3747,3343
Nike,Blue,8,11442,8808
Crocs,Grey,7,2442,2368
Nike,White,8,5242,4053
Franco Leone,Black,10,3742,1693
Reebok,Green,6,2446,1908
Converse,Brown,6,3046,2463
Crocs,Red,3,2442,1568
Franco Leone,Tan,10,3642,1653
Tresmode,Blue,3.5,3747,3013
Tory Burch,Black,7,28447,22813
Crocs,Blue,6,3442,2468
Crocs,White,7,3242,3168
Tresmode,Black,2.5,3747,3343
Tresmode,Black,6,4647,4153
Franco Leone,Navy,6,4042,1813
Crocs,Pink,2,5442,3368
Liberty,Black,10,1746,1472
Crocs,Brown,7,3942,3868
Crocs,Blue,8,5442,5368
Buckaroo,Brown,6,3242,2048
Crocs,Brown,3,8442,8368
Woodland,Brown,8,3242,3168
Tresmode,Beige,4,3647,2293
Franco Leone,Black,6,4142,1853
Crocs,Yellow,5,5442,5368
Crocs,Brown,2,2942,2868
Nike,Black,8,4142,3333
Crocs,Blue,8,2442,2368
Crocs,Pink,5,2442,2368
Tory Burch,Blue,8,29197,26248
Vanilla Moon,Silver,6.5,3937,2958
FILA,Black,9,3346,2703
Tresmode,Black,3.5,3447,2773
FILA,Black,8,2746,1982
Crocs,Blue,13,2442,2368
Franco Leone,Black,8,2742,1523
Tory Burch,Orange,7.5,32947,29623
Reebok,Grey,8,3446,2833
Imperial India Company,Black,10.5,11446,8623
Tory Burch,Tan,4.5,28447,22813
Umbro,Grey & Blue,10,3946,2623
Havaianas,Pink,5,1947,1873
Bata,Brown,11,2946,2872
Nike,Grey,7,5442,4208
Crocs,Grey,9,1942,1868
Crocs,Grey,2,3442,3368
Crocs,Blue,5,5442,3868
Tresmode,Gold,3.5,6447,5173
Adidas,Black,10,5446,4472
Crocs,Brown,3,2442,1868
FILA,Black,9,3146,1893
